Bill_No,Congress_Name,Bill_URL,Short_Title,Long_Title,Author,Date_Filed,Scope,Subjects,Primary_Committee,Legislative_Status
Senate Bill No. 3393,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3393-15th-congress-republic,"SPECIAL PROTECTION OF CHILDREN AGAINST CHILD ABUSE, EXPLOITATION AND DISCRIMINATION ACT","AN ACT AMEDING SECTIONS 16(A) AND 16 (B) OF REPUBLIC ACT NO. 9231, OTHERWISE KNOWN AS 'AN ACT PROVIDING FOR THE ELIMINATION OF THE WORST FORMS OF CHILD LABOR AND AFFORDING STRONGER PROTECTION FOR THE WORKING CHILD, AMENDING FOR THE PURPOSE OF REPUBLIC ACT NO. 7610, AS AMENDED, OTHERWISE KNOWN AS THE 'SPECIAL PROTECTION OF CHILDREN AGAINST CHILD ABUSE, EXPLOITATION AND DISCRIMINATION ACT'","LAPID, MANUEL ""LITO"" M.","January 23, 2013",NATIONAL,"CHILD ABUSE, EXPLOITATION AND DISCRIMINATION ACT (R.A. NO. 7610)","LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 3402,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3402-15th-congress-republic,REVISED PENAL CODE,"AN ACT REPEALING FOR THIS PURPOSE ARTICLE 133 OF ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE REVISED PENAL CODE","CAYETANO, PIA S.","May 2, 2013",NATIONAL,FREEDOM OF EXPRESSION REVISED PENAL CODE (R.A.NO. 3815 AMENDMENTS),"CONSTITUTIONAL AMENDMENTS, REVISION OF CODES AND LAWS",PENDING IN THE COMMITTEE
Senate Bill No. 3383,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3383-15th-congress-republic,NATIONAL FLOOD RESEARCH AND EDUCATION ACT,"AN ACT TO ESTABLISH A NATIONAL FLOOD RESEARCH AND EDUCATION CONSORTIUM TO PLAN, COORDINATE, CONDUCT, AND SHARE RESEARCH ON FLOODING, FLOOD PREVENTION, AND OTHER FLOOD-RELATED ISSUES, AND FOR OTHER PURPOSES",Miriam Defensor Santiago,"January 17, 2013",NATIONAL,FLOOD/DRAINAGE SYSTEMS,NATIONAL DEFENSE AND SECURITY,PENDING IN THE COMMITTEE
Senate Bill No. 3394,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3394-15th-congress-republic,FILING FEES FOR PETITION FOR HABEAS CORPUS,AN ACT PROVIDING A MECHANISM FOR DISCHARGING THE FILING FEES FOR PETITIONS FOR HABEAS CORPUS,"LAPID, MANUEL ""LITO"" M.","January 23, 2013",NATIONAL,HABEAS CORPUS,JUSTICE AND HUMAN RIGHTS,PENDING IN THE COMMITTEE
Senate Bill No. 3403,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3403-15th-congress-republic,COMPREHENSIVE DANGEROUS DRUGS ACT,"AN ACT AMENDING SECTION 21 OF REPUBLIC ACT NO. 9165, OTHERWISE KNOWN AS THE COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002","SOTTO III, VICENTE C.","June 2, 2013",NATIONAL,"COMPREHENSIVE DANGEROUS DRUGS ACT OF 2002, AMENDMENTS",PUBLIC ORDER AND DANGEROUS DRUGS,"PENDING SECOND READING, ORDINARY BUSINESS"
Senate Bill No. 3384,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3384-15th-congress-republic,SILENT MODE ACT,AN ACT PROHIBITING THE USE OF CELLULAR OR MOBILE TELEPHONES TWO-WAY RADIOS AND OTHER AUDIO-VISUAL ELECTRONIC DEVICES INSIDE MOVIE THEATERS AND OTHER SIMILAR ARENA,Miriam Defensor Santiago,"January 17, 2013",NATIONAL,CELLULAR PHONES,PUBLIC INFORMATION AND MASS MEDIA,PENDING IN THE COMMITTEE
Senate Bill No. 3395,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3395-15th-congress-republic,OWWA ACT OF 2013,AN ACT TO GOVERN THE OPERATIONS AND ADMINISTRATION OF THE OVERSEAS WORKERS WELFARE ADMINISTRATION,"LEGARDA, LOREN B.","January 24, 2013",NATIONAL,OVERSEAS WORKERS WELFARE ADMINISTRATION (OWWA),"LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 3404,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3404-15th-congress-republic,FRATERNITIES AND SORORITIES SCHOOL ORGANIZATIONS,AN ACT AMENDING REPUBLIC ACT NO. 8049 AND FOR OTHER PURPOSES,Miriam Defensor Santiago,"June 2, 2013",NATIONAL,Hazing,PUBLIC ORDER AND DANGEROUS DRUGS,SENT TO THE ARCHIVES
Senate Bill No. 3385,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3385-15th-congress-republic,FIRECRACKER REGULATION ACT,AN ACT TO REGULATE THE USE OF FIRECRACKERS AND PYROTECHNIC DEVICES,Miriam Defensor Santiago,"January 21, 2013",NATIONAL,FIRECRACKERS/PYROTECHNIC DEVICES,PUBLIC ORDER AND DANGEROUS DRUGS,PENDING IN THE COMMITTEE
Senate Bill No. 3396,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3396-15th-congress-republic,SAMAR ISLAND NATURAL PARK (SINP) ACT,"AN ACT ESTABLISHING THE SAMAR ISLAND NATURAL PARK IN THE PROVINCES OF SAMAR, NORTHERN SAMAR AND EASTERN SAMAR AS A PROTECTED AREA UNDER THE CATEGORY OF NATURAL PARK, PROVIDING FOR ITS MANAGEMENT AND FOR OTHER PURPOSES","ESTRADA, JINGGOY E.","January 28, 2013",NATIONAL,PROTECTED LANDSCAPE/PROTECTED AREA,ENVIRONMENT AND NATURAL RESOURCES,"PENDING SECOND READING, ORDINARY BUSINESS"
