Bill_No,Congress_Name,Bill_URL,Short_Title,Long_Title,Author,Date_Filed,Scope,Subjects,Primary_Committee,Legislative_Status
Senate Bill No. 3405,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3405-15th-congress-republic,SOCIAL SECURITY SYSTEM PENSIONS,"AN ACT INCREASING PENSIONS UNDER THE SOCIAL SECURITY SYSTEM AMENDING FOR THE PURPOSE SECTION 12 OF REPUBLIC ACT NO. 1161, AS AMENDED OTHERWISE KNOWN AS THE SOCIAL SECURITY ACT OF 1997","ESTRADA, JINGGOY E.","June 2, 2013",NATIONAL,SOCIAL SECURITY ACT OF 1997 (R.A.NO. 8282),GOVERNMENT CORPORATIONS AND PUBLIC ENTERPRISES,SENT TO THE ARCHIVES
Senate Bill No. 3386,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3386-15th-congress-republic,ANTI-PREMATURE CAMPAIGNING ACT,"AN ACT AMENDING SECTION 79, 80 AND 81 OF BATAS PAMBANSA BILANG 881 OTHERWISE KNOWN AS THE OMNIBUS ELECTION CODE OF THE PHILIPPINES",Miriam Defensor Santiago,"January 21, 2013",NATIONAL,OMNIBUS ELECTION CODE (BATAS PAMBANSA BLG. 881),ELECTORAL REFORMS AND PEOPLES PARTICIPATION,PENDING IN THE COMMITTEE
Senate Bill No. 3397,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3397-15th-congress-republic,COMPREHENSIVE FIREARMS AND AMMUNITION REGULATION ACT,AN ACT PROVIDING FOR A COMPREHENSIVE LAW ON FIREARMS AND AMMUNITION AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF,Antonio F. Trillanes IV,"January 28, 2013",NATIONAL,FIREARMS,PUBLIC ORDER AND DANGEROUS DRUGS,APPROVED BY THE PRESIDENT OF THE PHILIPPINES
Senate Bill No. 3387,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3387-15th-congress-republic,LOCAL ABSENTEE VOTING (PARTY-LIST REPRESENTATIVE),AN ACT AMENDING SECTION 12 OF REPUBLIC ACT NO. 7166 BY INCLUDING PARTY-LIST REPRESENTATIVE IN THE LIST OF PUBLIC OFFICERS TO BE ELECTED UNDER THE LOCAL ABSENTEE VOTING,"PIMENTEL, AQUILINO ""KOKO"" III","January 21, 2013",NATIONAL,ABSENTEE VOTING,ELECTORAL REFORMS AND PEOPLES PARTICIPATION,PENDING IN THE HOUSE OF REPRESENTATIVES
Senate Bill No. 3398,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3398-15th-congress-republic,REVISED PHILIPPINE HIV AND AIDS POLICY AND PROGRAM ACT,"AN ACT STRENGTHENING THE PHILIPPINE COMPREHENSIVE POLICY ON HIV AND AIDS PREVENTION, TREATMENT, CARE AND SUPPORT AND ESTABLISHING THE PHILIPPINE NATIONAL HIV AND AIDS PROGRAM, REVISING FOR THE PURPOSE REPUBLIC ACT NO. 8504, OTHERWISE KNOWN AS 'THE PHILIPPINE AIDS PREVENTION AND CONTROL ACT OF 1998', AND APPROPRIATING FUNDS THEREFOR","CAYETANO, PIA S.","January 28, 2013",NATIONAL,HUMAN IMMUNO DEFICIENCY VIRUS (HIV),HEALTH AND DEMOGRAPHY,PENDING IN THE COMMITTEE
Senate Bill No. 3388,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3388-15th-congress-republic,MEAT INSPECTION CODE,"AN ACT AMENDING REPUBLIC ACT NO. 9296, OTHERWISE KNOWN AS THE MEAT INSPECTION CODE OF THE PHILIPPINES","TRILLANES, ANTONIO ""SONNY"" F.","January 22, 2013",NATIONAL,MEAT INSPECTION LAW (R.A.NO. 9296),AGRICULTURE AND FOOD,APPROVED BY THE PRESIDENT OF THE PHILIPPINES
Senate Bill No. 3399,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3399-15th-congress-republic,PHILIPPINE NATIONAL HEALTH RESEARCH SYSTEM ACT OF 2013,AN ACT INSTITUTIONALIZING THE PHILIPPINE NATIONAL HEALTH RESEARCH SYSTEM,"TRILLANES, ANTONIO ""SONNY"" F.","January 29, 2013",NATIONAL,PHILIPPINE NATIONAL HEALTH RESEARCH,HEALTH AND DEMOGRAPHY,APPROVED BY THE PRESIDENT OF THE PHILIPPINES
Senate Bill No. 3390,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3390-15th-congress-republic,"PHILIPPINE EAR, NOSE AND THROAT CENTER","AN ACT ESTABLISHING THE PHILIPPINE EAR, NOSE AND THROAT (ENT) CENTER AND APPROPRIATING FUNDS THEREFORE","ESTRADA, JINGGOY E.","January 23, 2013",NATIONAL,"MEDICAL REHABILITATION PHILIPPINE EAR, NOSE AND THROAT (ENT)",HEALTH AND DEMOGRAPHY,PENDING IN THE COMMITTEE
Senate Bill No. 3391,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3391-15th-congress-republic,OCCUPATIONAL SAFETY AND HEALTH IN THE CONSTRUCTION INDUSTRY ACT,AN ACT TO GOVERN OCCUPATIONAL SAFETY AND HEALTH IN THE CONSTRUCTION INDUSTRY,"ESTRADA, JINGGOY E.","January 23, 2013",NATIONAL,OCCUPATIONAL SAFETY CONSTRUCTION INDUSTRY,"LABOR, EMPLOYMENT AND HUMAN RESOURCES DEVELOPMENT",PENDING IN THE COMMITTEE
Senate Bill No. 3400,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3400-15th-congress-republic,S & T SCHOLARSHIP WITH TEACHING INCENTIVES ACT,"AN ACT EXPANDING THE COVERAGE OF THE SCIENCE AND TECHNOLOGY SCHOLARSHIP PROGRAM, STRENGTHENING THE TEACHING OF SCIENCE AND MATHEMATICS IN SECONDARY SCHOOLS BY PROVIDING INCENTIVES AND ADDITIONAL SOURCES OF FUNDING THEREFOR, AND FOR OTHER PURPOSES",Edgardo J. Angara,"January 29, 2013",NATIONAL,SCHOLARSHIP GRANTS SCIENCE AND TECHNOLOGY,SCIENCE AND TECHNOLOGY,APPROVED BY THE PRESIDENT OF THE PHILIPPINES
Senate Bill No. 3392,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3392-15th-congress-republic,EARLY VOTING FOR ELECTORAL STAFF ACT OF 2013,AN ACT PROVIDING FOR EARLY VOTING FOR QUALIFIED MEMBERS OF THE STAFF OF ELECTORAL CANDIDATES AND REGISTERED NATIONAL POLITICAL PARTIES,"LAPID, MANUEL ""LITO"" M.","January 23, 2013",NATIONAL,N/A,ELECTORAL REFORMS AND PEOPLES PARTICIPATION,PENDING IN THE COMMITTEE
Senate Bill No. 3401,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3401-15th-congress-republic,PHILIPPINE IMMIGRATION ACT OF 2013,PHILIPPINE IMMIGRATION ACT OF 2013,"ESCUDERO, FRANCIS G.","January 31, 2013",NATIONAL,PHILIPPINE IMMIGRATION ACT,JUSTICE AND HUMAN RIGHTS,"PENDING SECOND READING, ORDINARY BUSINESS"
Senate Bill No. 3382,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3382-15th-congress-republic,ANTI-PROSTITUTION ACT,"AN ACT ADDRESSING THE SYSTEM OF PROSTITUTION, IMPOSING PENALTIES ON ITS PERPETRATORS, PROVIDING PROTECTIVE MEASURES AND SUPPORT SERVICES FOR ITS VICTIMS, REPEALING FOR THE PURPOSE ARTICLES 202 AND 341 OF ACT NO. 3815, AS AMENDED, OTHERWISE KNOWN AS THE REVISED PENAL CODE","ESTRADA, JINGGOY E.","January 14, 2013",NATIONAL,PROSTITUTION REVISED PENAL CODE (R.A.NO. 3815 AMENDMENTS),JUSTICE AND HUMAN RIGHTS,"PENDING SECOND READING, ORDINARY BUSINESS"
Senate Bill No. 3389,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3389-15th-congress-republic,NATIONAL ELECTRIFICATION ADMINISTRATION REFORM ACT,"AN ACT STRENGTHENING THE NATIONAL ELECTRIFICATION ADMINISTRATION, FURTHER AMENDING FOR THE PURPOSE PRESIDENTIAL DECREE NO. 269, AS AMENDED, OTHERWISE KNOWN AS THE NATIONAL ELECTRIFICATION ADMINISTRATION DECREE",Sergio R. Osmeña III,"January 22, 2013",NATIONAL,NATIONAL ELECTRIFICATION ADMINISTRATION,ENERGY,APPROVED BY THE PRESIDENT OF THE PHILIPPINES
Senate Bill No. 3260,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3260-15th-congress-republic,EDUCATIONAL SUCCESS FOR CHILDREN AND YOUTH WITHOUT HOMES ACT OF 2012,"AN ACT TO IMPROVE ACCESS TO PRESCHOOL, PRIMARY, AND SECONDARY EDUCATION OF CHILDREN AND YOUTH WITHOUT HOMES",Miriam Defensor Santiago,"August 28, 2012",NATIONAL,CHILDREN AND YOUTH homeless,"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 3332,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3332-15th-congress-republic,SETTLEMENT OF DISPUTES AND MEDIATION PROCEEDINGS,AN ACT AMENDING ARTICLE 137 OF REPUBLIC ACT NO. 9520 OTHERWISE KNOWN AS 'AN ACT AMENDING THE COOPERATIVE CODE OF THE PHILIPPINES TO BE KNOWN AS THE PHILIPPINE COOPERATIVE CODE OF 2008,"LAPID, MANUEL ""LITO"" M.","November 20, 2012",NATIONAL,COOPERATIVES ALTERNATIVE DISPUTE RESOLUTION (ADR),COOPERATIVES,PENDING IN THE COMMITTEE
Senate Bill No. 3102,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3102-15th-congress-republic,PARENTAL LIABILITY ACT,AN ACT PENALIZING THE PARENTS OR GUARDIANS FOR TORTS OR CRIMES COMMITTED BY THEIR MINOR CHILDREN OR WARDS,Miriam Defensor Santiago,"January 19, 2012",NATIONAL,parents,JUSTICE AND HUMAN RIGHTS,PENDING IN THE COMMITTEE
Senate Bill No. 3162,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3162-15th-congress-republic,MICROENTERPRISE DEVELOPMENT INSTITUTIONS OF 2011,AN ACT GOVERNING THE CREATION AND ACCREDITATION OF MICROENTERPRISE DEVELOPMENT INSTITUTIONS AND FOR OTHER PURPOSES,Franklin M. Drilon,"March 21, 2012",NATIONAL,MICROENTERPRISE DEVELOPMENT INSTITUTIONS (MICRODEVS),ECONOMIC AFFAIRS,CONSOLIDATED/SUBSTITUTED IN THE COMMITTEE REPORT
Senate Bill No. 3230,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3230-15th-congress-republic,MALAMPAYA NATURAL GAS PROJECT,AN ACT ALLOCATING THE NET NATIONAL GOVERNMENT SHARE FROM THE MALAMPAYA NATURAL GAS PROJECT TO FINANCE THE AFP MODERNIZATION ACT,Ralph G. Recto,"October 7, 2012",NATIONAL,ARMED FORCES OF THE PHILIPPINES (AFP) MALAMPAYA NATURAL GAS PROJECT,FINANCE,PENDING IN THE COMMITTEE
Senate Bill No. 3362,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3362-15th-congress-republic,CLOSED CAPTION TELEVISION BROADCASTING,"AN ACT TO REQUIRE ALL FRANCHISE HOLDERS OR OPERATORS OF TELEVISION STATIONS AND PRODUCERS OF TELEVISION PROGRAMS TO BROADCAST OR PRESENT THEIR PROGRAMS WITH CLOSED CAPTIONS, AND FOR OTHER PURPOSES","Manuel B. Villar, Jr. B.","October 12, 2012",NATIONAL,CLOSED CAPTION BROADCASTING,PUBLIC INFORMATION AND MASS MEDIA,PENDING IN THE COMMITTEE
Senate Bill No. 3133,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3133-15th-congress-republic,AUTISM SPECTRUM DISORDER MANAGEMENT ACT,"AN ACT PROVIDING FOR THE IDENTIFICATION, ASSESSMENT, AND EDUCATION OF CHILDREN WITH AUTISM SPECTRUM DISORDER",Miriam Defensor Santiago,"February 23, 2012",NATIONAL,AUTISM,HEALTH AND DEMOGRAPHY,PENDING IN THE COMMITTEE
Senate Bill No. 3191,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3191-15th-congress-republic,GREEN COMMUNITY ACT OF 2012,"AN ACT COMPELLING INTERMEDIATE GRADE SCHOOLERS, SECONDARY, VOCATIONAL AND COLLEGE STUDENTS TO PLANT TREES IN AN OPEN SPACE OF THE COMMUNITY AS PART OF THEIR CURRICULUM AND AS PREREQUISITES FOR GRADUATION AND FOR OTHER PURPOSES","Manuel B. Villar, Jr. B.","September 5, 2012",NATIONAL,TREE PLANTING GREENING ACT CURRICULUM,"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 3372,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3372-15th-congress-republic,PROVINCIAL SPORTS COMPLEX ACT OF 2012,AN ACT ESTABLISHING PROVINCIAL SPORTS COMPLEXES,Miriam Defensor Santiago,"December 13, 2012",NATIONAL,SPORTS COMPLEX/SPORTS CENTER/MULTI-PURPOSE SPORTS CENTER/SPORTS ACADEMY,AMATEUR SPORTS COMPETITIVENESS,PENDING IN THE COMMITTEE
Senate Bill No. 3143,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3143-15th-congress-republic,CAFFEINATED MALT BEVERAGES ACT,"AN ACT PROHIBITING THE PRODUCTION, IMPORTATION, OR SALE OF CAFFEINATED MALT BEVERAGES",Miriam Defensor Santiago,"May 3, 2012",NATIONAL,BEVERAGES,HEALTH AND DEMOGRAPHY,PENDING IN THE COMMITTEE
Senate Bill No. 3270,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3270-15th-congress-republic,ALIWAGWAG PROTECTED LANDSCAPE (APL) ACT OF 2012,"AN ACT ESTABLISHING THE ALIWAGWAG PROTECTED LANDSCAPE IN THE PROVINCES OF DAVAO ORIENTAL AND COMPOSTELA VALLEY AS A PROTECTED AREA UNDER THE CATEGORY OF PROTECTED LANDSCAPE, PROVIDING FOR ITS MANAGEMENT AND FOR OTHER PURPOSES","CAYETANO, PIA S.","March 9, 2012",LOCAL,PROTECTED LANDSCAPE/PROTECTED AREA,ENVIRONMENT AND NATURAL RESOURCES,"PENDING SECOND READING, SPECIAL ORDER"
Senate Bill No. 3343,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3343-15th-congress-republic,PRINCIPLE OF RECIPROCITY AS BASIS FOR THE GRANT OF INCOME TAX EXEMPTIONS,"AN ACT RECOGNIZING THE PRINCIPLE OF RECIPROCITY AS BASIS FOR THE GRANT OF INCOME TAX EXEMPTIONS TO INTERNATIONAL AIR CARRIERS AND RATIONALIZING OTHER TAXES IMPOSED THEREON BY AMENDING SECTION 28 (A) (3) (A), 109, AND 118 OF THE NATIONAL INTERNAL REVENUE CODE, AS AMENDED, AND FOR OTHER PURPOSES",Ralph G. Recto,"May 12, 2012",NATIONAL,"TAX EXEMPTION NATIONAL INTERNAL REVENUE CODE (NIRC) AIR CARRIERS, INTERNATIONAL",WAYS AND MEANS,CONSOLIDATED WITH APPROVED BILL
Senate Bill No. 3112,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3112-15th-congress-republic,DAY OF GOODWILL ACT OF 2012,"AN ACT DECLARING DECEMBER 26 OF EVERY YEAR AS A NATIONAL SPECIAL NON-WORKING HOLIDAY, TO BE KNOWN AS 'FILIPINO DAY OF GOODWILL","Ferdinand ""Bongbong"" R. Marcos, Jr.","January 30, 2012",NATIONAL,HOLIDAYS (NON-WORKING),"CONSTITUTIONAL AMENDMENTS, REVISION OF CODES AND LAWS",PENDING IN THE COMMITTEE
Senate Bill No. 3381,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3381-15th-congress-republic,WESTERN VISAYAS MEDICAL CENTER CHARTER,"AN ACT CONVERTING THE WESTERN VISAYAS MEDICAL CENTER INTO A GOVERNMENT-OWNED AND -CONTROLLED HOSPITAL CORPORATION, INTEGRATING THEREWITH THE SAN JOAQUIN MUNICIPAL HOSPITAL AND APPROPRIATING FUNDS THEREFOR","ESCUDERO, FRANCIS G.","December 20, 2012",LOCAL,"HOSPITALS, CONVERSION",HEALTH AND DEMOGRAPHY,VETOED BY THE PRESIDENT OF THE PHILIPPINES
Senate Bill No. 3172,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3172-15th-congress-republic,FREE PROFESSIONAL EXAMINATIONS ACT OF 2012,AN ACT PROVIDING A MECHANISM FOR FREE PROFESSIONAL EXAMINATIONS AND FOR OTHER PURPOSES,"LAPID, MANUEL ""LITO"" M.","February 5, 2012",NATIONAL,PROFESSIONAL LICENSURE EXAMINATIONS,CIVIL SERVICE AND GOVERNMENT REORGANIZATION,PENDING IN THE COMMITTEE
Senate Bill No. 3240,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3240-15th-congress-republic,TAAL VOLCANO PROTECTED LANDSCAPE ACT,"AN ACT DECLARING THE TAAL VOLCANO ISLAND NATIONAL PARK, PROVINCE OF BATANGAS, ISLAND OF LUZON, AND ITS WATERSHED AREAS, A PROTECTED AREA UNDER THE CATEGORY OF PROTECTED LANDSCAPE AND PROVIDING FOR ITS MANAGEMENT AND FOR OTHER PURPOSES AS MANDATED FOR THE NIPAS ACT OF 1992","ESCUDERO, FRANCIS G.","July 24, 2012",LOCAL,PROTECTED LANDSCAPE/PROTECTED AREA,ENVIRONMENT AND NATURAL RESOURCES,PENDING IN THE COMMITTEE
Senate Bill No. 3308,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3308-15th-congress-republic,SOIL AND WATER CONSERVATION ACT OF 2012,AN ACT PROMOTING SOIL AND WATER CONSERVATION TECHNOLOGIES AND APPROACHES FOR SUSTAINABLE LAND MANAGEMENT IN THE PHILIPPINES AND FOR OTHER PURPOSES,"LEGARDA, LOREN B.","October 15, 2012",NATIONAL,SUSTAINABLE LAND MANAGEMENT CONSERVATION,AGRICULTURE AND FOOD,PENDING IN THE COMMITTEE
Senate Bill No. 3094,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3094-15th-congress-republic,FOREIGN LANGUAGE EDUCATION PARTNERSHIP ACT,AN ACT ESTABLISHING A PARTNERSHIP PROGRAM IN FOREIGN LANGUAGE EDUCATION,Miriam Defensor Santiago,"December 1, 2012",NATIONAL,N/A,"EDUCATION, ARTS AND CULTURE",PENDING IN THE COMMITTEE
Senate Bill No. 3153,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3153-15th-congress-republic,COMMEMORATIVE PLATES FOR MOTOR VEHICLES,AN ACT REGULATING THE ISSUANCE OF COMMEMORATIVE PLATES FOR MOTOR VEHICLES AND PROVIDING PENALTIES FOR VIOLATIONS THEREOF,"LAPID, MANUEL ""LITO"" M.","March 14, 2012",NATIONAL,Motor vehicle license plates,PUBLIC SERVICES,PENDING IN THE COMMITTEE
Senate Bill No. 3221,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3221-15th-congress-republic,BOTTOM-TO-TOP PARTICIPATORY GOVERNANCE THROUGH NON-GOVERNMENT ORGANIZATIONS,"AN ACT STRENGTHENING THE RIGHT OF THE PEOPLE TO PARTICIPATORY GOVERNANCE THROUGH THE EMPOWERMENT OF NON-GOVERNMENT ORGANIZATIONS (NGOS) AND PEOPLE'S ORGANIZATIONS (POS), INSTITUTING FOR THE PURPOSE A BOTTOM-UP MECHANISM IN CRAFTING DEVELOPMENT PLANS AND FOR OTHER PURPOSES",Gregorio B. Honasan II,"June 6, 2012",NATIONAL,NON-GOVERNMENT ORGANIZATIONS (NGO),ELECTORAL REFORMS AND PEOPLES PARTICIPATION,PENDING IN THE COMMITTEE
Senate Bill No. 3280,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3280-15th-congress-republic,THE INSURANCE CODE,"AN ACT REVISING PRESIDENTIAL DECREE NO. 612, OTHERWISE KNOWN AS THE INSURANCE CODE, AS AMENDED BY PRESIDENTIAL DECREE NOS. 1141, 1280, 1455, 1460, 1814, AND 1981, AND BATAS PAMBANSA BLG. 874, AND FOR OTHER PURPOSES",Edgardo J. Angara,"September 13, 2012",NATIONAL,INSURANCE CODE,"BANKS, FINANCIAL INSTITUTIONS AND CURRENCIES",CONSOLIDATED WITH APPROVED BILL
Senate Bill No. 3353,15th Congress (July 2010 - 2013),https://ldr.senate.gov.ph/bills/senate-bill-no-3353-15th-congress-republic,ABOLISHING REGULAR MANDATORY CONTRIBUTIONS OF PCSO,"AN ACT ABOLISHING REGULAR MANDATORY CONTRIBUTIONS IMPOSED ON THE PHILIPPINE CHARITY SWEEPSTAKES OFFICE (PCSO), MODIFYING FOR THE PURPOSE SEC. 11 (A) OF REPUBLIC ACT NO. 7835","Teofisto ""TG"" D. Guingona III","June 12, 2012",NATIONAL,PHILIPPINE CHARITY SWEEPSTAKES OFFICE (PCSO),GOVERNMENT CORPORATIONS AND PUBLIC ENTERPRISES,PENDING IN THE COMMITTEE
